Pair #: 1	Jaccard: 0.3333333333333333	Title 1: RET ACTIVATION BY GERMLINE MEN2A AND MEN2B MUTATIONS	Title 2: ACTIVATION OF RET AS A DOMINANT TRANSFORMING GENE BY GERMLINE MUTATIONS OF MEN2A AND MEN2B	Authors: [:borrello, alberti, arighi, bocciardi, bongarzone, eng, greco, lorenzo, miranda, mondellini, pasini, pierotti, ponder, romeo, scopsi, smith]	Authors: [:santoro, bottaro, carlomagno, dathan, difiore, fusco, grieco, kraus, matoskova, romano, vecchio]	
Pair #: 115	Jaccard: 0.3333333333333333	Title 1: STRUCTURE-BASED PREDICTION OF PROTEIN-PROTEIN INTERACTIONS ON A GENOME-WIDE SCALE	Title 2: GENOME REGULATION BY LONG NONCODING RNAS	Authors: [:zhang, accili, bisikirska, califano, deng, honig, hunter, lefebvre, maniatis, petrey, qiang, shi, thu]	Authors: [:rinn, chang]	
Pair #: 116	Jaccard: 0.3333333333333333	Title 1: STRUCTURE-BASED PREDICTION OF PROTEIN-PROTEIN INTERACTIONS ON A GENOME-WIDE SCALE	Title 2: NURD SUPPRESSES PLURIPOTENCY GENE EXPRESSION TO PROMOTE TRANSCRIPTIONAL HETEROGENEITY AND LINEAGE COMMITMENT	Authors: [:zhang, accili, bisikirska, califano, deng, honig, hunter, lefebvre, maniatis, petrey, qiang, shi, thu]	Authors: [:reynolds, behrens, bertone, brennecke, costello, hendrich, humphreys, hynes-allen, kalkan, latos, leaford, loos, mansfield, mosaku, nakagawa, o'shaughnessy, signolet, strouboulis]	
Pair #: 117	Jaccard: 0.3333333333333333	Title 1: STRUCTURE OF YEAST ARGONAUTE WITH GUIDE RNA	Title 2: ARGONAUTE DIVIDES ITS RNA GUIDE INTO DOMAINS WITH DISTINCT FUNCTIONS AND RNA-BINDING PROPERTIES	Authors: [:nakanishi, bartel, patel, weinberg]	Authors: [:wee, flores-jasso, salomon, zamore]	
Pair #: 118	Jaccard: 0.3333333333333333	Title 1: SINGLE-MOLECULE IMAGING REVEALS TARGET-SEARCH MECHANISMS DURING DNA MISMATCH REPAIR	Title 2: CRISPR IMMUNITY RELIES ON THE CONSECUTIVE BINDING AND DEGRADATION OF NEGATIVELY SUPERCOILED INVADER DNA BY CASCADE AND CAS3	Authors: [:gorman, alani, fazio, greene, plys, redding, wang, wind]	Authors: [:westra, bollen, brouns, dame, de vos, de vries, jore, kunne, seegers, semenova, severinov, staals, van der oost, van erp, wong]	
Pair #: 119	Jaccard: 0.3333333333333333	Title 1: SEQ2LOGO: A METHOD FOR CONSTRUCTION AND VISUALIZATION OF AMINO ACID BINDING MOTIFS AND SEQUENCE PROFILES INCLUDING SEQUENCE WEIGHTING, PSEUDO COUNTS AND TWO-SIDED REPRESENTATION OF AMINO ACID ENRICHMENT AND DEPLETION"	Title 2: NAVIGATING CANCER NETWORK ATTRACTORS FOR TUMOR-SPECIFIC THERAPY	Authors: [:thomsen, nielsen]	Authors: [:creixell, erler, linding, schoof]	
Pair #: 120	Jaccard: 0.3333333333333333	Title 1: ROLE OF TAZ AS MEDIATOR OF WNT SIGNALING	Title 2: CELL DETACHMENT ACTIVATES THE HIPPO PATHWAY VIA CYTOSKELETON REORGANIZATION TO INDUCE ANOIKIS	Authors: [:azzolin, basso, bicciato, bresolin, cordenonsi, forcato, piccolo, zanconato]	Authors: [:zhao, guan, li, wang, wang, yu]	
Pair #: 121	Jaccard: 0.3333333333333333	Title 1: ROLE OF TAZ AS MEDIATOR OF WNT SIGNALING	Title 2: GENETIC AND PHARMACOLOGICAL DISRUPTION OF THE TEAD-YAP COMPLEX SUPPRESSES THE ONCOGENIC ACTIVITY OF YAP	Authors: [:azzolin, basso, bicciato, bresolin, cordenonsi, forcato, piccolo, zanconato]	Authors: [:liu-chittenden, anders, chen, huang, lee, liu, pan, shim]	
Pair #: 122	Jaccard: 0.3333333333333333	Title 1: ROLE OF TAZ AS MEDIATOR OF WNT SIGNALING	Title 2: IDENTIFICATION OF SERUM-DERIVED SPHINGOSINE-1-PHOSPHATE AS A SMALL MOLECULE REGULATOR OF YAP	Authors: [:azzolin, basso, bicciato, bresolin, cordenonsi, forcato, piccolo, zanconato]	Authors: [:miller, bonamy, deran, liu, peters, su, wu, wu, yang]	
Pair #: 123	Jaccard: 0.3333333333333333	Title 1: ROLE OF TAZ AS MEDIATOR OF WNT SIGNALING	Title 2: REGULATION OF THE HIPPO-YAP PATHWAY BY G-PROTEIN-COUPLED RECEPTOR SIGNALING	Authors: [:azzolin, basso, bicciato, bresolin, cordenonsi, forcato, piccolo, zanconato]	Authors: [:yu, fu, guan, jewell, li, lian, mills, panupinthu, tumaneng, wang, yuan, zhao, zhao]	
Pair #: 124	Jaccard: 0.3333333333333333	Title 1: ROLE OF TAZ AS MEDIATOR OF WNT SIGNALING	Title 2: REGULATION OF THE HIPPO-YAP PATHWAY BY PROTEASE-ACTIVATED RECEPTORS (PARS)	Authors: [:azzolin, basso, bicciato, bresolin, cordenonsi, forcato, piccolo, zanconato]	Authors: [:mo, brown, gong, guan, yu]	
Pair #: 125	Jaccard: 0.3333333333333333	Title 1: RELION: IMPLEMENTATION OF A BAYESIAN APPROACH TO CRYO-EM STRUCTURE DETERMINATION	Title 2: MOVIES OF ICE-EMBEDDED PARTICLES ENHANCE RESOLUTION IN ELECTRON CRYO-MICROSCOPY	Authors: [:scheres]	Authors: [:campbell, brilot, carragher, cheng, grigorieff, harrison, lyumkis, moeller, pan, potter, veesler]	
Pair #: 126	Jaccard: 0.3333333333333333	Title 1: REGULATION OF THE HIPPO-YAP PATHWAY BY PROTEASE-ACTIVATED RECEPTORS (PARS)	Title 2: GENETIC AND PHARMACOLOGICAL DISRUPTION OF THE TEAD-YAP COMPLEX SUPPRESSES THE ONCOGENIC ACTIVITY OF YAP	Authors: [:mo, brown, gong, guan, yu]	Authors: [:liu-chittenden, anders, chen, huang, lee, liu, pan, shim]	
Pair #: 127	Jaccard: 0.3333333333333333	Title 1: REGULATION OF THE HIPPO-YAP PATHWAY BY PROTEASE-ACTIVATED RECEPTORS (PARS)	Title 2: IDENTIFICATION OF SERUM-DERIVED SPHINGOSINE-1-PHOSPHATE AS A SMALL MOLECULE REGULATOR OF YAP	Authors: [:mo, brown, gong, guan, yu]	Authors: [:miller, bonamy, deran, liu, peters, su, wu, wu, yang]	
Pair #: 128	Jaccard: 0.3333333333333333	Title 1: REGULATION OF THE HIPPO-YAP PATHWAY BY G-PROTEIN-COUPLED RECEPTOR SIGNALING	Title 2: GENETIC AND PHARMACOLOGICAL DISRUPTION OF THE TEAD-YAP COMPLEX SUPPRESSES THE ONCOGENIC ACTIVITY OF YAP	Authors: [:yu, fu, guan, jewell, li, lian, mills, panupinthu, tumaneng, wang, yuan, zhao, zhao]	Authors: [:liu-chittenden, anders, chen, huang, lee, liu, pan, shim]	
Pair #: 129	Jaccard: 0.3333333333333333	Title 1: REGULATION OF THE HIPPO-YAP PATHWAY BY G-PROTEIN-COUPLED RECEPTOR SIGNALING	Title 2: IDENTIFICATION OF SERUM-DERIVED SPHINGOSINE-1-PHOSPHATE AS A SMALL MOLECULE REGULATOR OF YAP	Authors: [:yu, fu, guan, jewell, li, lian, mills, panupinthu, tumaneng, wang, yuan, zhao, zhao]	Authors: [:miller, bonamy, deran, liu, peters, su, wu, wu, yang]	
Pair #: 130	Jaccard: 0.3333333333333333	Title 1: RECURRENT R-SPONDIN FUSIONS IN COLON CANCER	Title 2: PATIENT-DERIVED TUMOUR XENOGRAFTS AS MODELS FOR ONCOLOGY DRUG DEVELOPMENT	Authors: [:seshagiri, bourgon, chaudhuri, conboy, de sauvage, degenhardt, dijkgraaf, durinck, gentleman, gnad, guan, guillory, ha, haverty, huntley, jaiswal, janakiraman, koeppen, largaespada, modrusan, starr, stawiski, stinson, storm, wang, wu, zhang]	Authors: [:tentler, arcaroli, eckhardt, jimeno, leong, messersmith, pitts, tan, weekes]	
Pair #: 131	Jaccard: 0.3333333333333333	Title 1: RAISE STANDARDS FOR PRECLINICAL CANCER RESEARCH	Title 2: CRYSTAL STRUCTURE OF A LIPID G PROTEIN-COUPLED RECEPTOR	Authors: [:begley, ellis]	Authors: [:hanson, cahalan, clemons, desale, griffith, han, jo, kuhn, reinhart, rosen, roth, sanna, schuerer, scott, stevens]	
Pair #: 132	Jaccard: 0.3333333333333333	Title 1: PREGNANCY IMPRINTS REGULATORY MEMORY THAT SUSTAINS ANERGY TO FETAL ANTIGEN	Title 2: EXTRATHYMIC GENERATION OF REGULATORY T CELLS IN PLACENTAL MAMMALS MITIGATES MATERNAL-FETAL CONFLICT	Authors: [:rowe, ertelt, way, xin]	Authors: [:samstein, arvey, josefowicz, rudensky, treuting]	
Pair #: 133	Jaccard: 0.3333333333333333	Title 1: PHASE TRANSITIONS IN THE ASSEMBLY OF MULTIVALENT SIGNALLING PROTEINS	Title 2: GETTING RNA AND PROTEIN IN PHASE	Authors: [:li, banani, banjade, chen, cheng, guo, hollingsworth, jiang, kim, king, llaguno, nixon, rosen, russo]	Authors: [:weber, brangwynne]	
Pair #: 134	Jaccard: 0.3333333333333333	Title 1: NURD SUPPRESSES PLURIPOTENCY GENE EXPRESSION TO PROMOTE TRANSCRIPTIONAL HETEROGENEITY AND LINEAGE COMMITMENT	Title 2: GENOME REGULATION BY LONG NONCODING RNAS	Authors: [:reynolds, behrens, bertone, brennecke, costello, hendrich, humphreys, hynes-allen, kalkan, latos, leaford, loos, mansfield, mosaku, nakagawa, o'shaughnessy, signolet, strouboulis]	Authors: [:rinn, chang]	
Pair #: 135	Jaccard: 0.3333333333333333	Title 1: NIH IMAGE TO IMAGEJ: 25 YEARS OF IMAGE ANALYSIS	Title 2: CELL-FREE FORMATION OF RNA GRANULES: BOUND RNAS IDENTIFY FEATURES AND COMPONENTS OF CELLULAR ASSEMBLIES	Authors: [:schneider, eliceiri, rasband]	Authors: [:han, allen, chen, kato, mcknight, mirzaei, pei, wu, xiao, xie, xie]	
Pair #: 136	Jaccard: 0.3333333333333333	Title 1: INTERACTIONS BETWEEN THE MICROBIOTA AND THE IMMUNE SYSTEM	Title 2: INFLAMMASOME-MEDIATED DYSBIOSIS REGULATES PROGRESSION OF NAFLD AND OBESITY	Authors: [:hooper, littman, macpherson]	Authors: [:henao-mejia, camporez, eisenbarth, elinav, flavell, gordon, hao, hoffman, jin, jurczak, kau, mehal, shulman, strowig, thaiss]	
Pair #: 137	Jaccard: 0.3333333333333333	Title 1: IDENTIFICATION OF SERUM-DERIVED SPHINGOSINE-1-PHOSPHATE AS A SMALL MOLECULE REGULATOR OF YAP	Title 2: CELL DETACHMENT ACTIVATES THE HIPPO PATHWAY VIA CYTOSKELETON REORGANIZATION TO INDUCE ANOIKIS	Authors: [:miller, bonamy, deran, liu, peters, su, wu, wu, yang]	Authors: [:zhao, guan, li, wang, wang, yu]	
Pair #: 138	Jaccard: 0.3333333333333333	Title 1: HSP90 STRESS POTENTIATES RAPID CELLULAR ADAPTATION THROUGH INDUCTION OF ANEUPLOIDY	Title 2: CHROMOSOMAL DUPLICATION IS A TRANSIENT EVOLUTIONARY SOLUTION TO STRESS	Authors: [:chen, bradford, li, seidel]	Authors: [:yona, dahan, herbst, kupiec, manor, mitchell, pilpel, romano]	
Pair #: 139	Jaccard: 0.3333333333333333	Title 1: HOW TO BUILD A PATHOGEN DETECTOR: STRUCTURAL BASIS OF NB-LRR FUNCTION	Title 2: DISTINCT REGIONS OF THE PSEUDOMONAS SYRINGAE COILED-COIL EFFECTOR AVRRPS4 ARE REQUIRED FOR ACTIVATION OF IMMUNITY	Authors: [:takken, goverse]	Authors: [:sohn, banfield, hughes, jones, piquerez]	
Pair #: 140	Jaccard: 0.2857142857142857	Title 1: GETTING RNA AND PROTEIN IN PHASE	Title 2: CELL-FREE FORMATION OF RNA GRANULES: LOW COMPLEXITY SEQUENCE DOMAINS FORM DYNAMIC FIBERS WITHIN HYDROGELS	Authors: [:weber, brangwynne]	Authors: [:kato, chen, du, eisenberg, frantz, goldsmith, grishin, han, li, longgood, mcknight, mirzaei, pei, sawaya, schneider, shi, tycko, wu, xie]	
Pair #: 141	Jaccard: 0.3333333333333333	Title 1: GENOME-WIDE STRUCTURE AND ORGANIZATION OF EUKARYOTIC PRE-INITIATION COMPLEXES	Title 2: CONSERVATION BETWEEN THE RNA POLYMERASE I, II, AND III TRANSCRIPTION INITIATION MACHINERIES"	Authors: [:rhee, pugh]	Authors: [:vannini, cramer]	
Pair #: 142	Jaccard: 0.3333333333333333	Title 1: GENETIC AND PHARMACOLOGICAL DISRUPTION OF THE TEAD-YAP COMPLEX SUPPRESSES THE ONCOGENIC ACTIVITY OF YAP	Title 2: CELL DETACHMENT ACTIVATES THE HIPPO PATHWAY VIA CYTOSKELETON REORGANIZATION TO INDUCE ANOIKIS	Authors: [:liu-chittenden, anders, chen, huang, lee, liu, pan, shim]	Authors: [:zhao, guan, li, wang, wang, yu]	
Pair #: 143	Jaccard: 0.3333333333333333	Title 1: GAMETE FUSION IS REQUIRED TO BLOCK MULTIPLE POLLEN TUBES FROM ENTERING AN ARABIDOPSIS OVULE	Title 2: A SPECIES-SPECIFIC CLUSTER OF DEFENSIN-LIKE GENES ENCODES DIFFUSIBLE POLLEN TUBE ATTRACTANTS IN ARABIDOPSIS	Authors: [:beale, johnson, leydon]	Authors: [:takeuchi, higashiyama]	
Pair #: 144	Jaccard: 0.3333333333333333	Title 1: GAMETE FUSION IS REQUIRED TO BLOCK MULTIPLE POLLEN TUBES FROM ENTERING AN ARABIDOPSIS OVULE	Title 2: FERTILIZATION RECOVERY AFTER DEFECTIVE SPERM CELL RELEASE IN ARABIDOPSIS	Authors: [:beale, johnson, leydon]	Authors: [:kasahara, hamamura, higashiyama, maruyama, sakakibara, twell]	
Pair #: 145	Jaccard: 0.3333333333333333	Title 1: DOPAMINE IS REQUIRED FOR LEARNING AND FORGETTING IN DROSOPHILA	Title 2: A GAL4-DRIVER LINE RESOURCE FOR DROSOPHILA NEUROBIOLOGY	Authors: [:berry, cervantes-sandoval, davis, nicholas]	Authors: [:jenett, aso, cavallaro, depasquale, dionne, enos, fetter, hall, hausenfluck, hulamm, iwinski, iyer, jeter, lam, laverty, li, long, murphy, murphy, myers, ngo, peng, pfeiffer, qu, rokicki, rubin, safford, shaw, shepherd, simpson, sowell, svirskas, tae, trautman, yu, zugates]	
Pair #: 146	Jaccard: 0.3333333333333333	Title 1: WIDESPREAD AGGREGATION AND NEURODEGENERATIVE DISEASES ARE ASSOCIATED WITH SUPERSATURATED PROTEINS	Title 2: SPATIAL SEQUESTRATION OF MISFOLDED PROTEINS BY A DYNAMIC CHAPERONE PATHWAY ENHANCES CELLULAR FITNESS DURING STRESS	Authors: [:ciryam, dobson, gaetano tartaglia, morimoto, vendruscolo]	Authors: [:escusa-toret, frydman, vonk]	
Pair #: 147	Jaccard: 0.3333333333333333	Title 1: TUMOUR HETEROGENEITY AND CANCER CELL PLASTICITY	Title 2: SUMOYLATED HNRNPA2B1 CONTROLS THE SORTING OF MIRNAS INTO EXOSOMES THROUGH BINDING TO SPECIFIC MOTIFS	Authors: [:meacham, morrison]	Authors: [:villarroya-beltri, gutierrez-vazquez, jorge martinez-herrera, martin-cofreces, mittelbrunn, pascual-montano, perez-hernandez, sanchez-cabo, sanchez-madrid, vazquez]	
Pair #: 148	Jaccard: 0.5	Title 1: TRANSCRIPTOME AND GENOME SEQUENCING UNCOVERS FUNCTIONAL VARIATION IN HUMANS	Title 2: IDENTIFICATION OF GENETIC VARIANTS THAT AFFECT HISTONE MODIFICATIONS IN HUMAN CELLS	Authors: ['t hoen, :lappalainen, almloef, amstislavskiy, antonarakis, barann, beltran, bertier, brazma, buermans, carracedo, dermitzakis, donnelly, esser, estivill, ferreira, flicek, friedlaender, giger, gonzalez-porta, greger, griebel, guigo, gut, gut, haesler, kahlem, karlberg, kilpinen, kurbatova, lehrach, lek, lizano, macarthur, mccarthy, meitinger, monlong, montgomery, ongen, padioleau, pirinen, pulyakhina, ribeca, rivas, rosenstiel, sammeth, schreiber, schwarzmayr, stegle, strom, sudbrak, sultan, syvaenen, tikhonov, van iterson, van ommen, wieland]	Authors: [:mcvicker, banovich, cain, degner, gilad, lewellen, myrthil, pritchard, raj, van de geijn]	
Pair #: 149	Jaccard: 0.3333333333333333	Title 1: THE TRACRRNA AND CAS9 FAMILIES OF TYPE II CRISPR-CAS IMMUNITY SYSTEMS	Title 2: RNA-GUIDED EDITING OF BACTERIAL GENOMES USING CRISPR-CAS SYSTEMS	Authors: [:chylinski, charpentier, le rhun]	Authors: [:jiang, bikard, cox, marraffini, zhang]	
Pair #: 150	Jaccard: 0.5	Title 1: THE ONTOGENY OF CKIT(+) HUMAN PRIMORDIAL GERM CELLS PROVES TO BE A RESOURCE FOR HUMAN GERM LINE REPROGRAMMING, IMPRINT ERASURE AND IN VITRO DIFFERENTIATION"	Title 2: GERMLINE DNA DEMETHYLATION DYNAMICS AND IMPRINT ERASURE THROUGH 5-HYDROXYMETHYLCYTOSINE	Authors: [:gkountela, chen, clark, li, pellegrini, vincent, zhang]	Authors: [:hackett, down, lee, murakami, sengupta, surani, zylicz]	
Pair #: 151	Jaccard: 0.6	Title 1: THE ONTOGENY OF CKIT(+) HUMAN PRIMORDIAL GERM CELLS PROVES TO BE A RESOURCE FOR HUMAN GERM LINE REPROGRAMMING, IMPRINT ERASURE AND IN VITRO DIFFERENTIATION"	Title 2: HIGH-RESOLUTION DNA METHYLOME ANALYSIS OF PRIMORDIAL GERM CELLS IDENTIFIES GENDER-SPECIFIC REPROGRAMMING IN MICE	Authors: [:gkountela, chen, clark, li, pellegrini, vincent, zhang]	Authors: [:kobayashi, imai, ito, kono, matsui, miura, mochiduki, sakashita, sakurai, suzuki, wakai, yanagisawa]	
Pair #: 152	Jaccard: 0.3333333333333333	Title 1: THE NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX IS A KEY REGULATOR OF PROTEOSTASIS	Title 2: SPATIAL SEQUESTRATION OF MISFOLDED PROTEINS BY A DYNAMIC CHAPERONE PATHWAY ENHANCES CELLULAR FITNESS DURING STRESS	Authors: [:kirstein-miles, deuerling, morimoto, scior]	Authors: [:escusa-toret, frydman, vonk]	
Pair #: 153	Jaccard: 0.3333333333333333	Title 1: THE MICROBIAL METABOLITES, SHORT-CHAIN FATTY ACIDS, REGULATE COLONIC T-REG CELL HOMEOSTASIS"	Title 2: MICROBIOTA MODULATE BEHAVIORAL AND PHYSIOLOGICAL ABNORMALITIES ASSOCIATED WITH NEURODEVELOPMENTAL DISORDERS	Authors: [:smith, bohlooly-y, gallini, garrett, glickman, howitt, michaud, panikov]	Authors: [:hsiao, chow, codelli, hsien, hyde, mazmanian, mcbride, mccue, patterson, petrosino, reisman, sharon]	
Pair #: 154	Jaccard: 0.3333333333333333	Title 1: THE MAKING OF A SLICER: ACTIVATION OF HUMAN ARGONAUTE-1	Title 2: BACTERIAL ARGONAUTE SAMPLES THE TRANSCRIPTOME TO IDENTIFY FOREIGN DNA	Authors: [:faehnle, elkayam, haase, hannon, joshua-tor]	Authors: [:olovnikov, aravin, chan, newman, sachidanandam]	
Pair #: 155	Jaccard: 0.3333333333333333	Title 1: THE MAKING OF A SLICER: ACTIVATION OF HUMAN ARGONAUTE-1	Title 2: DYNAMIC ANCHORING OF THE 3 '-END OF THE GUIDE STRAND CONTROLS THE TARGET DISSOCIATION OF ARGONAUTE-GUIDE COMPLEX	Authors: [:faehnle, elkayam, haase, hannon, joshua-tor]	Authors: [:jung, hohng, hwang, kim, shin, song]	
Pair #: 156	Jaccard: 0.3333333333333333	Title 1: THE HIPPO SIGNALING PATHWAY INTERACTOME	Title 2: PROTEIN KINASE A ACTIVATES THE HIPPO PATHWAY TO MODULATE CELL PROLIFERATION AND DIFFERENTIATION	Authors: [:kwon, dephoure, gygi, hong, perrimon, sun, vinayagam]	Authors: [:yu, chen, deng, guan, jewell, lai, pan, park, taylor, zhang]	
Pair #: 157	Jaccard: 0.3333333333333333	Title 1: THE HIPPO SIGNALING PATHWAY INTERACTOME	Title 2: RESTRICTION OF INTESTINAL STEM CELL EXPANSION AND THE REGENERATIVE RESPONSE BY YAP	Authors: [:kwon, dephoure, gygi, hong, perrimon, sun, vinayagam]	Authors: [:barry, butler, camargo, de la rosa, fuchs, kuo, magness, morikawa, ogino, shrestha, smits, yan]	
Pair #: 158	Jaccard: 0.3333333333333333	Title 1: THE HIPPO SIGNALING PATHWAY INTERACTOME	Title 2: THE HIPPO PATHWAY: REGULATORS AND REGULATIONS	Authors: [:kwon, dephoure, gygi, hong, perrimon, sun, vinayagam]	Authors: [:yu, guan]	
Pair #: 159	Jaccard: 0.3333333333333333	Title 1: THE HIPPO PATHWAY: REGULATORS AND REGULATIONS	Title 2: RESTRICTION OF INTESTINAL STEM CELL EXPANSION AND THE REGENERATIVE RESPONSE BY YAP	Authors: [:yu, guan]	Authors: [:barry, butler, camargo, de la rosa, fuchs, kuo, magness, morikawa, ogino, shrestha, smits, yan]	
Pair #: 160	Jaccard: 0.3333333333333333	Title 1: THE CAUSES AND CONSEQUENCES OF GENETIC HETEROGENEITY IN CANCER EVOLUTION	Title 2: EVOLUTION AND IMPACT OF SUBCLONAL MUTATIONS IN CHRONIC LYMPHOCYTIC LEUKEMIA	Authors: [:burrell, bartek, mcgranahan, swanton]	Authors: [:landau, brown, carter, cibulskis, fernandes, gabriel, getz, hacohen, lander, lawrence, mckenna, meyerson, neuberg, saksena, shukla, sivachenko, sougnez, stevenson, stewart, stojanov, tesar, vartanov, wan, wang, wu, zhang]	
Pair #: 161	Jaccard: 0.3333333333333333	Title 1: STRUCTURE OF THE TRPV1 ION CHANNEL DETERMINED BY ELECTRON CRYO-MICROSCOPY	Title 2: AVOIDING THE PITFALLS OF SINGLE PARTICLE CRYO-ELECTRON MICROSCOPY: EINSTEIN FROM NOISE	Authors: [:liao, cao, cheng, julius]	Authors: [:henderson]	
Pair #: 162	Jaccard: 0.3333333333333333	Title 1: STRUCTURE OF THE TRPV1 ION CHANNEL DETERMINED BY ELECTRON CRYO-MICROSCOPY	Title 2: MOLECULAR ARCHITECTURE OF THE UNCLEAVED HIV-1 ENVELOPE GLYCOPROTEIN TRIMER	Authors: [:liao, cao, cheng, julius]	Authors: [:mao, desormeaux, finzi, gu, herschhorn, sodroski, wang, xiang]	
Pair #: 163	Jaccard: 0.3333333333333333	Title 1: STRUCTURE OF THE TRPV1 ION CHANNEL DETERMINED BY ELECTRON CRYO-MICROSCOPY	Title 2: QUANTITATIVE CHARACTERIZATION OF ELECTRON DETECTORS FOR TRANSMISSION ELECTRON MICROSCOPY	Authors: [:liao, cao, cheng, julius]	Authors: [:ruskin, grigorieff, yu]	
Pair #: 164	Jaccard: 0.3333333333333333	Title 1: STRUCTURE OF THE TRPV1 ION CHANNEL DETERMINED BY ELECTRON CRYO-MICROSCOPY	Title 2: RIBOSOME STRUCTURES TO NEAR-ATOMIC RESOLUTION FROM THIRTY THOUSAND CRYO-EM PARTICLES	Authors: [:liao, cao, cheng, julius]	Authors: [:bai, fernandez, mcmullan, scheres]	
Pair #: 165	Jaccard: 0.3333333333333333	Title 1: STAGE-SPECIFIC ROLES FOR TET1 AND TET2 IN DNA DEMETHYLATION IN PRIMORDIAL GERM CELLS	Title 2: A MESODERMAL FACTOR, T, SPECIFIES MOUSE GERM CELL FATE BY DIRECTLY ACTIVATING GERMLINE DETERMINANTS"	Authors: [:vincent, calvopina, chen, clark, fan, faull, feng, huang, jacobsen, lee, nee, pellegrini, rao, thuc, yoon]	Authors: [:aramaki, hamakubo, hayashi, iwanari, kato, kurimoto, mochizuki, ohta, saitou, shirahige, yabuta]	
Pair #: 166	Jaccard: 0.3333333333333333	Title 1: STAGE-SPECIFIC ROLES FOR TET1 AND TET2 IN DNA DEMETHYLATION IN PRIMORDIAL GERM CELLS	Title 2: A TRIPARTITE TRANSCRIPTION FACTOR NETWORK REGULATES PRIMORDIAL GERM CELL SPECIFICATION IN MICE	Authors: [:vincent, calvopina, chen, clark, fan, faull, feng, huang, jacobsen, lee, nee, pellegrini, rao, thuc, yoon]	Authors: [:magnusdottir, bao, diamanti, dietmann, gottgens, guenesdogan, lao, murakami, surani, tang]	
Pair #: 167	Jaccard: 0.3333333333333333	Title 1: STAGE-SPECIFIC ROLES FOR TET1 AND TET2 IN DNA DEMETHYLATION IN PRIMORDIAL GERM CELLS	Title 2: PRIMORDIAL GERM-CELL DEVELOPMENT AND EPIGENETIC REPROGRAMMING IN MAMMALS	Authors: [:vincent, calvopina, chen, clark, fan, faull, feng, huang, jacobsen, lee, nee, pellegrini, rao, thuc, yoon]	Authors: [:leitch, surani, tang]	
Pair #: 168	Jaccard: 0.3333333333333333	Title 1: STAGE-SPECIFIC ROLES FOR TET1 AND TET2 IN DNA DEMETHYLATION IN PRIMORDIAL GERM CELLS	Title 2: REPLICATION-COUPLED PASSIVE DNA DEMETHYLATION FOR THE ERASURE OF GENOME IMPRINTS IN MICE	Authors: [:vincent, calvopina, chen, clark, fan, faull, feng, huang, jacobsen, lee, nee, pellegrini, rao, thuc, yoon]	Authors: [:kagiwada, hirota, kurimoto, saitou, yamaji]	
Pair #: 169	Jaccard: 0.3333333333333333	Title 1: SPATIALLY ISOTROPIC FOUR-DIMENSIONAL IMAGING WITH DUAL-VIEW PLANE ILLUMINATION MICROSCOPY	Title 2: IMPROVED TOOLS FOR THE BRAINBOW TOOLBOX	Authors: [:wu, bao, christensen, colon-ramos, fischer, mcauliffe, santella, senseney, shroff, waterman, wawrzusin, winter, york]	Authors: [:cai, cohen, lichtman, luo, sanes]	
Pair #: 170	Jaccard: 0.3333333333333333	Title 1: SORTING DNA WITH ASYMMETRY: A NEW PLAYER IN GENE REGULATION?	Title 2: CHROMOSOME-SPECIFIC NONRANDOM SISTER CHROMATID SEGREGATION DURING STEM-CELL DIVISION	Authors: [:evano, tajbakhsh]	Authors: [:yadlapalli, yamashita]	
Pair #: 171	Jaccard: 0.5	Title 1: SMART-SEQ2 FOR SENSITIVE FULL-LENGTH TRANSCRIPTOME PROFILING IN SINGLE CELLS	Title 2: ACCOUNTING FOR TECHNICAL NOISE IN SINGLE-CELL RNA-SEQ EXPERIMENTS	Authors: [:picelli, bjorklund, faridani, sagasser, sandberg, winberg]	Authors: [:brennecke, anders, baying, benes, heisler, kim, kolodziejczyk, marioni, proserpio, teichmann, zhang]	
Pair #: 172	Jaccard: 0.3333333333333333	Title 1: SMART-SEQ2 FOR SENSITIVE FULL-LENGTH TRANSCRIPTOME PROFILING IN SINGLE CELLS	Title 2: SINGLE-CELL TRANSCRIPTOMICS REVEALS BIMODALITY IN EXPRESSION AND SPLICING IN IMMUNE CELLS	Authors: [:picelli, bjorklund, faridani, sagasser, sandberg, winberg]	Authors: [:shalek, adiconis, gaublomme, gennert, gertner, gnirke, goren, hacohen, levin, lu, malboeuf, park, raychowdhury, regev, satija, schwartz, trombetta, yosef]	
Pair #: 173	Jaccard: 0.3333333333333333	Title 1: SINGLE-CELL TRANSCRIPTOMICS REVEALS BIMODALITY IN EXPRESSION AND SPLICING IN IMMUNE CELLS	Title 2: ACCOUNTING FOR TECHNICAL NOISE IN SINGLE-CELL RNA-SEQ EXPERIMENTS	Authors: [:shalek, adiconis, gaublomme, gennert, gertner, gnirke, goren, hacohen, levin, lu, malboeuf, park, raychowdhury, regev, satija, schwartz, trombetta, yosef]	Authors: [:brennecke, anders, baying, benes, heisler, kim, kolodziejczyk, marioni, proserpio, teichmann, zhang]	
